,Ticker,2018,2019,2020,2021,2022,2023
0,A,-7.507362956733453,12.89531168331417,44.44722586835665,33.615135070100166,8.102480030617606,-8.072263257718355
1,AAL,-40.31595258362359,-18.824574540946372,-41.02727951818246,4.601042543205557,-22.768665468522784,-14.869886674652163
2,AAPL,-4.3730641528071175,79.08077737618324,72.96492026319176,35.39301860833331,-25.22939194667211,34.17848887798558
3,ABBV,-14.645372654077256,16.507090869844347,39.57263119420871,38.460647781579496,22.65793566553063,9.123840518171349
4,ABNB,,,,-9.333986240749,-44.46970233023321,22.52722404986195
5,ABT,18.493564307719794,20.992897528168903,27.629277263266765,15.63672267189855,-12.417772755850825,1.5576205877620022
6,ACGL,-11.853972433128543,46.132875067106504,-18.31974678564675,41.51544405881848,35.53540412978865,15.4156929357733
7,ACN,-10.669273419096154,38.86439889619595,29.332507764019343,73.47639444759707,-23.502347268751123,27.749581101222915
8,ADBE,13.255912952791938,33.08449189379164,42.427514454001845,23.604422943562405,-37.01478449037585,61.09520480785767
9,ADI,-4.690141751718971,22.105392501500102,36.775919383754044,20.829653397614766,1.4788712184553419,17.450487451458663
10,ADM,-1.7588787778230899,6.85284687330366,16.435083329827204,38.42393070305953,26.14981432833277,-10.812550544792375
11,ADP,7.690103355364092,23.75538861375284,4.743680632227322,51.495015763583055,17.491859122183627,4.879918273990015
12,ADSK,11.235078321388071,24.633159318865058,55.11302355628296,1.3553003874455412,-25.189158837468266,13.162293913093553
13,AEE,17.946066551198705,12.90358921662598,-3.0569894121534844,24.887246285602277,2.158798847533454,-14.776649521733567
14,AEP,12.723542923222512,23.294085295184562,-17.487468953770193,13.909317752872466,8.634303702763017,-10.0382540663911
15,AES,30.24160979177824,25.419561212350978,22.393166349990686,2.079605258011965,33.3191328059581,-27.471328951792472
16,AFL,5.697099348193733,13.232280627233283,-11.371609106141763,32.434339538819835,17.496729318125794,14.872072052548567
17,AIG,-37.24295104349344,21.014122013335417,-22.078811054537066,54.73558479849986,11.447788506732763,9.233712295761364
18,AIZ,0.1130895180218029,38.982068709822784,6.517393017454463,17.100433858885115,-16.543876964802234,29.705862680394908
19,AJG,9.799086255974238,29.39965191962867,22.194736483144155,48.57409900911965,20.47923511386928,16.090184579453055
20,AKAM,-8.822206629612642,32.688170934068786,12.469201478214625,5.412953438085707,-26.4076815312977,33.05227940927985
21,ALB,-30.22722599551761,-8.184186919820718,86.35793609421569,44.65003145015508,-1.2738293386050517,-48.367124531828246
22,ALGN,-20.064888291686543,12.086769216926536,107.84908292365276,25.08660142526115,-57.39049669924173,1.5830604084646365
23,ALL,-14.680091967047995,30.542881863935,-5.248265173578372,12.68343861718368,15.412092849475897,12.27297065261357
24,ALLE,-6.745290803597142,46.25865026555271,-9.171839646585871,24.78831853121287,-13.195284281385533,9.111996656690208
25,AMAT,-37.96779175493047,59.05469820704192,50.82637070842932,63.92080504487188,-28.87324838779744,46.714676378192856
26,AMCR,-17.478476098879742,18.128017382171677,16.096419987653064,14.232535746878487,3.20206432764177,-16.0138933928698
27,AMD,34.35225176113942,87.87382587883765,95.12765762653757,68.02895250122806,-43.30853685508411,96.15435884102646
28,AME,-10.790006946334048,37.493215084132956,25.250042347915304,30.429550007006668,2.6950113691516266,14.360725932606147
29,AMGN,7.707770792247201,32.7567305543197,9.361310483181315,-3.934960578133179,19.28133664236345,18.06764400847145
30,AMP,-36.5382360673451,35.17221398503673,20.66289464983539,55.09273522405418,4.061299381958994,10.264989738335101
31,AMT,8.865260749445946,34.73098312226588,-1.8560917549999543,30.542813053090196,-14.18527765301203,-0.8531887425986989
32,AMZN,3.5205987703912465,7.51193928125407,62.13957289336114,3.9966301405015536,-43.840319903730176,47.328620661211744
33,ANET,-23.609603598998458,-5.2984472238992515,30.102091917569467,86.9553923021006,-2.3811432246850903,86.88303505822515
34,ANSS,-11.574384263236917,56.62305695320756,32.614007071784116,13.192426177205022,-28.946210582322873,36.23668149848237
35,AON,3.62633885832581,34.60908297144634,-3.192886116222999,49.15817054584824,9.391217340721091,-7.989040112611595
36,AOS,-35.16760025150804,1.3959441671501562,31.08167641576065,60.80360272042336,-23.692408705808752,24.01494139400777
37,APA,-40.14343091298388,-19.122249529991624,-47.501490686584056,89.55722949550045,42.86320806547268,-17.06216699364988
38,APD,-2.962752736010549,45.336955935690796,16.385676998235926,15.934196964590742,11.486223912276307,-12.991625371326219
39,APH,-12.055092928667904,24.029673974470548,32.5466665048049,40.96477634266644,-3.511540600667408,25.23781118365348
40,APTV,-34.804718882692995,21.29554787969942,54.05279430126163,23.465560937501785,-31.81285985878303,-20.6649534653468
41,ARE,-9.12614849821939,25.219290885901348,11.450467355426243,35.90169404693196,-23.551536997921858,-18.43999810039153
42,ATO,14.376671411512795,16.945112785269366,-16.58384964713443,20.893670126066173,7.12552258621339,1.22758540818994
43,AVB,4.851436007905938,11.14382086722972,-23.62592139101228,57.957013382855436,-32.337507359867615,8.585241676668604
44,AVGO,6.208498770660535,21.1041148039203,48.76836909062863,51.12405812430355,-2.3115785570163974,94.25819440875709
45,AVY,-25.760672139774847,27.176812173446653,19.977981604907114,45.38696846758803,-10.802033523515227,8.145216002796033
46,AWK,11.454116159715353,30.735209104072155,14.439335394848197,20.47450252906898,-3.564073993120277,-13.976085060149446
47,AXON,65.3439210648859,43.65810858763091,59.523503025535284,-4.3616005740635915,18.580719903446415,32.17866524009795
48,AXP,-2.70836911597991,22.994736004161055,-5.237159211189638,42.35954512308281,-16.76880640157153,8.678189051029293
