,Ticker,2018,2019,2020,2021,2022,2023
0,A,,,,,,
1,AAL,,,,,,
2,AAP,,,,,,
3,AAPL,,,,,,
4,ABBV,,,,,,
5,ABC,,,,,,
6,ABT,,,,,,
7,ACN,,,,,,
8,ADBE,,,,,,
9,ADI,,,,,,
10,ADM,,,,,,
11,ADP,,,,,,
12,ADS,,,,,,
13,ADSK,,,,,,
14,AEE,,,,,,
15,AEP,,,,,,
16,AES,,,,,,
17,AET,,,,,,
18,AFL,,,,,,
19,AGN,,,,,,
20,AIG,,,,,,
21,AIV,,,,,,
22,AIZ,,,,,,
23,AJG,,,,,,
24,AKAM,,,,,,
25,ALB,,,,,,
26,ALGN,,,,,,
27,ALK,,,,,,
28,ALL,,,,,,
29,ALLE,,,,,,
30,ALXN,,,,,,
31,AMAT,,,,,,
32,AMD,,,,,,
33,AME,,,,,,
34,AMG,,,,,,
35,AMGN,,,,,,
36,AMP,,,,,,
37,AMT,,,,,,
38,AMZN,,,,,,
39,ANDV,,,,,,
40,ANSS,,,,,,
41,ANTM,,,,,,
42,AON,,,,,,
43,AOS,,,,,,
44,APA,,,,,,
45,APC,,,,,,
46,APD,,,,,,
47,APH,,,,,,
48,APTV,,,,,,
49,ARE,,,,,,
50,ARNC,,,,,,
51,ATVI,,,,,,
52,AVB,,,,,,
53,AVGO,,,,,,
54,AVY,,,,,,
55,AWK,,,,,,
56,AXP,,,,,,
57,AYI,,,,,,
58,AZO,,,,,,
59,BA,,,,,,
60,BAC,,,,,,
61,BAX,,,,,,
62,BBT,,,,,,
63,BBY,,,,,,
64,BDX,,,,,,
65,BEN,,,,,,
66,BF.B,,,,,,
67,BHF,,,,,,
68,BHGE,,,,,,
69,BIIB,,,,,,
70,BK,,,,,,
71,BKNG,,,,,,
72,BLK,,,,,,
73,BLL,,,,,,
74,BMY,,,,,,
75,BRK.B,,,,,,
76,BSX,,,,,,
77,BWA,,,,,,
78,BXP,,,,,,
79,C,,,,,,
80,CA,,,,,,
81,CAG,,,,,,
82,CAH,,,,,,
83,CAT,,,,,,
84,CB,,,,,,
85,CBOE,,,,,,
86,CBRE,,,,,,
87,CBS,,,,,,
88,CCI,,,,,,
89,CCL,,,,,,
90,CDNS,,,,,,
91,CELG,,,,,,
92,CERN,,,,,,
93,CF,,,,,,
94,CFG,,,,,,
95,CHD,,,,,,
96,CHK,,,,,,
97,CHRW,,,,,,
98,CHTR,,,,,,
99,CI,,,,,,
100,CINF,,,,,,
101,CL,,,,,,
102,CLX,,,,,,
103,CMA,,,,,,
104,CMCSA,,,,,,
105,CME,,,,,,
106,CMG,,,,,,
107,CMI,,,,,,
108,CMS,,,,,,
109,CNC,,,,,,
110,CNP,,,,,,
111,COF,,,,,,
112,COG,,,,,,
113,COL,,,,,,
114,COO,,,,,,
115,COP,,,,,,
116,COST,,,,,,
117,COTY,,,,,,
118,CPB,,,,,,
119,CPRI,,,,,,
120,CRM,,,,,,
121,CSCO,,,,,,
122,CSRA,,,,,,
123,CSX,,,,,,
124,CTAS,,,,,,
125,CTL,,,,,,
126,CTSH,,,,,,
127,CTXS,,,,,,
128,CVS,,,,,,
129,CVX,,,,,,
130,CXO,,,,,,
131,D,,,,,,
132,DAL,,,,,,
133,DE,,,,,,
134,DFS,,,,,,
135,DG,,,,,,
136,DGX,,,,,,
137,DHI,,,,,,
138,DHR,,,,,,
139,DIS,,,,,,
140,DISCA,,,,,,
141,DISCK,,,,,,
142,DISH,,,,,,
143,DLR,,,,,,
144,DLTR,,,,,,
145,DOV,,,,,,
146,DRE,,,,,,
147,DRI,,,,,,
148,DTE,,,,,,
149,DUK,,,,,,
150,DVA,,,,,,
151,DVN,,,,,,
152,DWDP,,,,,,
153,DXC,,,,,,
154,EA,,,,,,
155,EBAY,,,,,,
156,ECL,,,,,,
157,ED,,,,,,
158,EFX,,,,,,
159,EIX,,,,,,
160,EL,,,,,,
161,EMN,,,,,,
162,EMR,,,,,,
163,EOG,,,,,,
164,EQIX,,,,,,
165,EQR,,,,,,
166,EQT,,,,,,
167,ES,,,,,,
168,ESRX,,,,,,
169,ESS,,,,,,
170,ETFC,,,,,,
171,ETN,,,,,,
172,ETR,,,,,,
173,EVHC,,,,,,
174,EW,,,,,,
175,EXC,,,,,,
176,EXPD,,,,,,
177,EXPE,,,,,,
178,EXR,,,,,,
179,F,,,,,,
180,FAST,,,,,,
181,FB,,,,,,
182,FBHS,,,,,,
183,FCX,,,,,,
184,FDX,,,,,,
185,FE,,,,,,
186,FFIV,,,,,,
187,FIS,,,,,,
188,FISV,,,,,,
189,FITB,,,,,,
190,FL,,,,,,
191,FLIR,,,,,,
192,FLR,,,,,,
193,FLS,,,,,,
194,FMC,,,,,,
195,FOX,,,,,,
196,FOXA,,,,,,
197,FRT,,,,,,
198,FTI,,,,,,
199,FTV,,,,,,
200,GD,,,,,,
201,GE,,,,,,
202,GGP,,,,,,
203,GILD,,,,,,
204,GIS,,,,,,
205,GLW,,,,,,
206,GM,,,,,,
207,GOOG,,,,,,
208,GOOGL,,,,,,
209,GPC,,,,,,
210,GPN,,,,,,
211,GPS,,,,,,
212,GRMN,,,,,,
213,GS,,,,,,
214,GT,,,,,,
215,GWW,,,,,,
216,HAL,,,,,,
217,HAS,,,,,,
218,HBAN,,,,,,
219,HBI,,,,,,
220,HCA,,,,,,
221,HCP,,,,,,
222,HD,,,,,,
223,HES,,,,,,
224,HIG,,,,,,
225,HLT,,,,,,
226,HOG,,,,,,
227,HOLX,,,,,,
228,HON,,,,,,
229,HP,,,,,,
230,HPE,,,,,,
231,HPQ,,,,,,
232,HRB,,,,,,
233,HRL,,,,,,
234,HRS,,,,,,
235,HSIC,,,,,,
236,HST,,,,,,
237,HSY,,,,,,
238,HUM,,,,,,
239,IBM,,,,,,
240,ICE,,,,,,
241,IDXX,,,,,,
242,IFF,,,,,,
243,ILMN,,,,,,
244,INCY,,,,,,
245,INFO,,,,,,
246,INTC,,,,,,
247,INTU,,,,,,
248,IP,,,,,,
249,IPG,,,,,,
250,IQV,,,,,,
251,IR,,,,,,
252,IRM,,,,,,
253,ISRG,,,,,,
254,IT,,,,,,
255,ITW,,,,,,
256,IVZ,,,,,,
257,JBHT,,,,,,
258,JCI,,,,,,
259,JEC,,,,,,
260,JEF,,,,,,
261,JNJ,,,,,,
262,JNPR,,,,,,
263,JPM,,,,,,
264,JWN,,,,,,
265,K,,,,,,
266,KDP,,,,,,
267,KEY,,,,,,
268,KHC,,,,,,
269,KIM,,,,,,
270,KLAC,,,,,,
271,KMB,,,,,,
272,KMI,,,,,,
273,KMX,,,,,,
274,KO,,,,,,
275,KORS,,,,,,
276,KR,,,,,,
277,KSS,,,,,,
278,KSU,,,,,,
279,L,,,,,,
280,LB,,,,,,
281,LEG,,,,,,
282,LEN,,,,,,
283,LH,,,,,,
284,LKQ,,,,,,
285,LLL,,,,,,
286,LLY,,,,,,
287,LMT,,,,,,
288,LNC,,,,,,
289,LNT,,,,,,
290,LOW,,,,,,
291,LRCX,,,,,,
292,LUV,,,,,,
293,LYB,,,,,,
294,M,,,,,,
295,MA,,,,,,
296,MAA,,,,,,
297,MAC,,,,,,
298,MAR,,,,,,
299,MAS,,,,,,
300,MAT,,,,,,
301,MCD,,,,,,
302,MCHP,,,,,,
303,MCK,,,,,,
304,MCO,,,,,,
305,MDLZ,,,,,,
306,MDT,,,,,,
307,MET,,,,,,
308,MGM,,,,,,
309,MHK,,,,,,
310,MKC,,,,,,
311,MLM,,,,,,
312,MMC,,,,,,
313,MMM,,,,,,
314,MNST,,,,,,
315,MO,,,,,,
316,MON,,,,,,
317,MOS,,,,,,
318,MPC,,,,,,
319,MRK,,,,,,
320,MRO,,,,,,
321,MS,,,,,,
322,MSFT,,,,,,
323,MSI,,,,,,
324,MTB,,,,,,
325,MTD,,,,,,
326,MU,,,,,,
327,MYL,,,,,,
328,NAVI,,,,,,
329,NBL,,,,,,
330,NCLH,,,,,,
331,NDAQ,,,,,,
332,NEE,,,,,,
333,NEM,,,,,,
334,NFLX,,,,,,
335,NFX,,,,,,
336,NI,,,,,,
337,NKE,,,,,,
338,NLSN,,,,,,
339,NOC,,,,,,
340,NOV,,,,,,
341,NRG,,,,,,
342,NSC,,,,,,
343,NTAP,,,,,,
344,NTRS,,,,,,
345,NUE,,,,,,
346,NVDA,,,,,,
347,NWL,,,,,,
348,NWS,,,,,,
349,NWSA,,,,,,
350,O,,,,,,
351,OKE,,,,,,
352,OMC,,,,,,
353,ORCL,,,,,,
354,ORLY,,,,,,
355,OXY,,,,,,
356,PAYX,,,,,,
357,PBCT,,,,,,
358,PCAR,,,,,,
359,PCG,,,,,,
360,PDCO,,,,,,
361,PEG,,,,,,
362,PEP,,,,,,
363,PFE,,,,,,
